ID,text,label
TXT00000,"RT Semua histeris! Puluhan ribu masyarakat Minangkabau menghadiri kampanye Akbar pak Anies di halaman GOR H. Agus Salim Padang, Sumatera Barat. https://t.co/2QIcUC9ZJg [RE Elz4m_]",Politik
TXT00001,"Prabowo, pahlawan tanpa tanda jasa yang selalu hadir di saat dibutuhkan. #02UntukMelanjutkan BuktiNyata TiadaHenti https://t.co/zzk0wjfmfd",Politik
TXT00002,"Usai Debat, Prabowo Kecewa dengan Narasi Anies dan Ganjar soal Pertahanan, Sebut Banyak Data yang Salah https://t.co/7lhdJxaAMU - 07/01/2024, 23:18 WIB Me : Saya setuju dengan Pak #Prabowo2024 dan dalam hal ini Pak Anies dan Pak Ganjar bersikap seperti Anggota Dewan Komisi I DPR yang sedang hearing { dengar pendapat } dengan Menteri Pertahanan dengan meminta agar dialog diadakan terbuka untuk umum padahal Menurut Menteri Pertahanan untuk urusan yang satu ini, tidak bisa dibuka di depan publik alias RAHASIA. Wajar jika pertanyaan dari kubu 01 dan 03 dinilai oleh beliau TIDAK BERKUALITAS alias BERKELAS dan BANYAK KEKELIRUANNYA Begini cuplikan Artikel nya: Ã¢Â€ÂœSaya agak-agak sedikit kecewa dengan kualitas, terutama narasi yang disampaikan oleh paslon-paslon yang lain. Menurut saya mereka pertama datanya banyak yang salah, keliru,Ã¢Â€Â kata Prabowo selepas debat di Istora Senayan, Jakarta Pusat, Minggu (7/1/2024). Ã¢Â€ÂœPertahanan adalah sakral, dan tadi kalau tidak salah, ada paslon yang mengatakan untuk pertahanan tidak ada rahasia. Saya kira ini sangat lucu, ini sangat tidak pantas bagi seorang pemimpin. Justru masalah pertahanan, keamanan, itu sarat dengan hal-hal rahasia,Ã¢Â€Â tutur Menteri Pertahanan RI itu. Salam Dua Jari Ã¢ÂœÂŒÃ¯Â¸Â dari Pak Prabowo Subianto Djojohadikusumo untuk Indonesia",Pertahanan dan Keamanan
TXT00003,"RT ""Di belakang kita ini banyak tongkang batubara lewat namun di depan kita masih banyak warga yang miskin..."" ~ by Anies Baswedan https://t.co/IwpnhXBfiZ [RE BosPurwa]",Sosial Budaya
TXT00004,"RT Pungli tak dapat berkembang di bawah kendali Ganjar Pranowo. Bersama-sama, kita lawan korupsi dan wujudkan pemerintahan yang adil.#GanjarMahfudRebound #GanjarPranowoPilihanUmat #JNK https://t.co/Ps87KLpg9w [RE averiexx]",Politik
TXT00005,RT Apa khabar kau Abah. Saya tak tahu nama penulis dan pembaca puisi ini. Tapi memang sepanjang Anies menjadi Gubernur. Ada banyak air mata melihatnya memeluk dan dipeluk warganya yg miskin &amp; terpinggirkan. @cWBxwsG3yi+wCZI5t2bP4MZZos2Od0LNAvNhSXPKudM= @/t2wgH4phqMW+E6kzS9sHetjhrS8DU97V4cVj35A+rI= https://t.co/duAB2J486C [RE GeiszChalifah],Sosial Budaya
TXT00006,"RT Tim hukum Ganjar Mahfud bicara, bahwa seharusnya kasus @yB1SyqKF5DHkhZ5swAPmqvRSZO5CeQ9AogTfcYCxfaQ= itu yang dianggap menyebarkan hoax itu masuk dalam delik aduan. Dengan artian, yang merasa dirugikan karena sebaran @PLQmeHxLBSlyd+zLCA3s58YSLM7L8YkUcc5P6xLGeLY= itulah yang harus melaporkan. Dalam hal ini Dandim, Kapolres, Kajari dan Pj Bupati Batu bara. Biar clear. Gak dengan tiba2 ditangkap pagi2 buta. [RE Dennysiregar7]",Politik
TXT00007,"RT @qXDO3RatzAyezAxEWNT0h+YgroGl0x8Zl1AiuIjeodQ= @b7OngyspvAnmI4Ghc/LNli1GuNuyxX6mBkPCDFgsu+k= @6ZdWTiEkt6L8VscKf2pjms/JPD16wGrKp7PmXkiDSGA= Kalimat ini seolah bijak, tapi tidak tepat. Rival politik biarlah jadi oposisi, jangan diajak masuk kekuasaan namun kemudian disandera dengan aneka kepentingan. Sudah lelah kita melihat oposisi yang lemah. Keseimbangan itu penting. [RE afifahafra79]",Politik
TXT00008,"RT Janji Pak Anies pada Masyarakat Sumatera Barat : Membangun Stadion Sepak Bola bertarap Internasional di Sumatera Barat jika nanti terpilih menjadi Presiden, tapi rumputnya jangan diganti ya Ã°ÂŸÂ™Âˆ https://t.co/ESnQSBDu8m [RE Elz4m_]",Sumber Daya Alam
TXT00009,RT bro keren bgt pak anies bilang kalo pak suami juga harus dpt cuti melahirkan 40 hari supaya bisa nemenin istri + ngurus mukjizat dari tuhan (anak) bareng bareng Ã°ÂŸÂ˜Â­Ã°ÂŸÂ˜Â­Ã°ÂŸÂ˜Â­Ã°ÂŸÂ˜Â­ https://t.co/kzQCFMKQ6C [RE zizuambis],Sosial Budaya
TXT00010,"@CxF/kVtZzwbCIVuW40+4gm9O/k4NGd1C70Ygp2ZJgEQ= @JEQ7zn27UEFWgvy01Tn6RR3GzEmVNRfDReSMxg6QkGk= Pak ganjar menang terbaik, terbukti dari banyak nya publik figur dan politisi yang mendukung beliau",Politik
TXT00011,"#PilpresIndonesia2024 pilihanku sudah jelas ! Dukunglah Ganjar Pranowo, pemimpin yang teruji dan terpercaya. #JNK #GanjarMahfudRebound #GanjarPranowoPilihanUmat https://t.co/LPrR09uh5R",Ideologi
TXT00012,"P3ngalaman Prof Mahfud bukan hanya di kertas, tapi nyata dalam meresapi setiap nuansa dan kompleksitas Konflik Agraria. Ganjar Pranowo - Hanya dia yang betul merakyat dan akan berbuat lebih demi rakyat @vVzOTHTlRUIaQI4VERbgSK4Rjm4kwpkuoIGnQsUCE4A= #GanjarMahfud2024 #SlankGanjarMahfud #Coblos3 https://t.co/97FlIKxseH",Politik
TXT00013,"Paslon No 03 Ganjar Pranowo - Prof Mahfud MD punya ide bagus, ekonomi kita bisa 7% tumbuh terus. #GanjarMahfudRebound #GanjarPranowoPilihanUmat #JNK https://t.co/H877h9PcUF",Ekonomi
TXT00014,"RT Relawan Ganjar Dicekoki Miras hingga Dikasih Amplop sebelum Bentrok dengan Belasan TNI di Boyolali, Ini Bukti-buktinya https://t.co/t1leD5a3uc [RE tvOneNews]",Pertahanan dan Keamanan
TXT00015,"Keberlanjutan p3mbangunan yang menjadi fokus Ganjar - Mahfud menciptakan harapan baru bagi kemajuan Indonesia. Bersama Ganjar, kita sejahtera @yF/Am16ot8LNTGjMRWCoLCN2hnn+EMuWxzDIWwRGVVo= #PresidenRakyat #GanjarMahfud2024 #M3nangDebat4 #Coblos3 https://t.co/t3OS28v86W",Politik
TXT00016,"RT Ã¢Â€ÂœBentrok antara warga dengan pendukung Prabowo-Gibran di Sleman mengakibatkan dua warga mengalami lukaÃ‚Â² dan satu warga meninggal duniaÃ¢Â€Â Pendukung dan yg didukung sama kelakuannya, nyawa gak ada harganya dimata merekaÃ°ÂŸÂ¤Â¦Ã¢Â€ÂÃ¢Â™Â€Ã¯Â¸Â Ã°ÂŸÂ¦Â‰Park Ahn Nice Ã¢Â˜ÂÃ¯Â¸ÂÃ¢ÂÂ¤ https://t.co/K5uavFp1B1 [RE AnKiiim_]",Pertahanan dan Keamanan
TXT00017,"bgini lah kualitas cawapres yg bakal lu dpt klo lu dengan penuh sadar mencoblos no 2 di tps nanti. amit amit prabowo nanti mati. yg naik jadi presiden bukan bapak lu, om lu, dll. tapi si gibran pah poh ini cokkkkkk. #asalbukanprabowo",Ekonomi
TXT00018,"Cukup liat track record-nya Ganjar Pranowo dan Mahfud MD, udah yakin banget deh. #Ganjar Pranowo dan Mahfud MDMahfudRebound #Ganjar Pranowo dan Mahfud MDPranowoPilihanUmat #JNK https://t.co/ClIzFPD1Pb",Politik
TXT00019,"RT Diberi Nilai Kecil oleh Ganjar dan Anies, Prabowo Ungkap Prestasinya Selama Jadi Menhan https://t.co/nrcwM3q2Tm [RE OposisiCerdas]",Politik
TXT00020,Ganjar Mahfud kita yakin bisa menang Penguin koruptor pasti kapok kalo sering mampir ke Nusakambangan @4NZt7qx2Is/kG0YoHwDH/qnjGAu55cC13XYpyENXTAs= #GanjarMahfud2024 #DuluJokowiSekarangGanjar #Coblos3 https://t.co/gELtsnEflT,Politik
TXT00021,RT Juru Bicara Tim Nasional Pemenangan Anies Baswedan-Muhaimin Iskandar (Timnas AMIN) Iwan Tarigan meminta Badan Pengawas Pemilu (Bawaslu) mengawasi Presiden Joko Widodo (Jokowi) supaya tak menyalahgunakan wewenangnya sebagai presiden https://t.co/Laycke6Oi2 [RE Mdy_Asmara1701],Politik
TXT00022,"RT Ganjar Pranowo-Mahfud MD menekankan pentingnya persiapan dalam kebutuhan dasar alutsista dari tiga matra, yaitu darat, laut, dan udara.Ganjar Mahfud M3nang. #GanjarMahfudRebound #GanjarPranowoPilihanUmat #JNK #TemanAlamGanjar #AtikohIbuNegara #Apri0801 https://t.co/kxi9ei6A46 [RE AllaaGa1]",Pertahanan dan Keamanan
TXT00023,"Kepemimpinan Mas Ganjar Pranowo dan Pak Mahfud MD tidak hanya terlihat di arena politik, tetapi juga di d rumah tangga Ganjar Mahfud Hebat #L3bihbaik #MahfudLebihBaik3 #GanjarMahfud2024 Internet Gratis https://t.co/Pc0HVsVl9B",Pertahanan dan Keamanan
TXT00024,"@Q8LXzOkppWBGLABV96GBcOvnrGpHhMNMf5JiTJ8fnZI= MasyaAllah, semoga diberi kelancaran, kesehatan dan istiqomah dalam perjuangan pilpres saat ini, aamiin ya Rabb. Paslon yang paling sangat serius menghadapi pilpres dgn adu gagasan dan belanja issue ke grassro",Politik
TXT00025,@/wFEkhYeQYTKA4VP4JIyYv/bsfEP+8JzaLTkH8cyNGU= @LpeueoxhDLtGYeFDR7V1kYgAIEa4rkegktFhf6JjpkQ= Yakin banget dunia pendidikan di pak ganjar akan maju dan merata,Sosial Budaya
TXT00026,"Ganjar dan Mahfud akan menciptakan atmosfer positif di seluruh Indonesia, siap lanjutkan k3tua @+0eA3j4KcfFvb7EpwHFTAJXK63Hs+xV10GzLndE0BRo= #GanjarMahfud2024 #DuluJokowiSekarangGanjar #Coblos3 https://t.co/TjQcPRsOem",Politik
TXT00027,"Calon Presiden RI No Urut 3 Ganjar Pranowo ingin kita semua tahu bahwa Konstitusi atau aturan dasar negara bukan main-main, harus dijaga.#JNK #GanjarMahfudRebound #GanjarPranowoPilihanUmat https://t.co/F3LqJJREUO",Ideologi
TXT00028,"@ZEtlzKevXBLY8NCcxYq1V1ut2Ha+92wgFYmQ5ZC/uYc= Wakil Ketua Dewan Pakar TKN, Sudjatmiko, cerita tentang langkah besar Prabowo - Gibran di bidang pertanian desa. dekade08",Sumber Daya Alam
TXT00029,Kenapa Anies Baswedan Mendadak Mesra dengan PDIP dan Hormati Megawati? https://t.co/QPeZHRsT4W,Politik
TXT00030,"@wDANl+Ol2yJyTvcwKOYVjzt1G157dhr2UhDYP4Si9so= pak anies adalah alasan kenapa gua apa2 sekarang naik TJ &amp; jatuh cinta sama transportasi publik, terus byk akses pejalan kaki yg dimudahkan juga. motor gua sampe diservice krn gak pernah dipake. padahal di",Sosial Budaya
TXT00031,"RT Gibran: Ã¢Â€ÂœKalau dari kami di Prabowo-Gibran, solusinya simpel, cabut IUP-nya.Ã¢Â€Â Cak Imin: Ã¢Â€ÂœKita sudah punya aturan hukumnya, tinggal implementasinya.Ã¢Â€Â Prof Mahfud be like: Arek-arek iki, polos men. Kurang melu kegiatan ekstrakurikuler iki. Ã°ÂŸÂ˜Â‚ [RE AgusMagelangan]",Politik
TXT00032,"RT Bro, kalo lo mau Pilpres 2024 jadi lebih kece, pilih Ganjar Pranowo - Mahfud MD. Dia janjiin program seru: Dilaut Kita Jaya, Nelayan Sejahtera. Kece banget, deh!#JNK #GanjarMahfudRebound #GanjarPranowoPilihanUmat https://t.co/DNrju30vkF [RE waitingforyou97]",Politik
